observation_date	MEHOINUSAKA672N	MEHOINUSALA672N	MEHOINUSARA672N	MEHOINUSAZA672N	MEHOINUSCAA672N	MEHOINUSCOA672N	MEHOINUSCTA672N	MEHOINUSDCA672N	MEHOINUSDEA672N	MEHOINUSFLA672N	MEHOINUSGAA672N	MEHOINUSHIA672N	MEHOINUSIAA672N	MEHOINUSIDA672N	MEHOINUSILA672N	MEHOINUSINA672N	MEHOINUSKSA672N	MEHOINUSKYA672N	MEHOINUSLAA672N	MEHOINUSMAA672N	MEHOINUSMDA672N	MEHOINUSMEA672N	MEHOINUSMIA672N	MEHOINUSMNA672N	MEHOINUSMOA672N	MEHOINUSMSA672N	MEHOINUSMTA672N	MEHOINUSNCA672N	MEHOINUSNDA672N	MEHOINUSNEA672N	MEHOINUSNHA672N	MEHOINUSNJA672N	MEHOINUSNMA672N	MEHOINUSNVA672N	MEHOINUSNYA672N	MEHOINUSOHA672N	MEHOINUSOKA672N	MEHOINUSORA672N	MEHOINUSPAA672N	MEHOINUSRIA672N_20160913	MEHOINUSSCA672N	MEHOINUSSDA672N_20160913	MEHOINUSTNA672N	MEHOINUSTXA672N	MEHOINUSUTA672N	MEHOINUSVAA672N	MEHOINUSVTA672N	MEHOINUSWAA672N	MEHOINUSWIA672N	MEHOINUSWVA672N	MEHOINUSWYA672N
1984-01-01	70327	37624	34068	46568	54962	56079	65099	44357	56118	43003	43436	62765	43173	45844	51626	49491	53532	38428	41186	58596	64571	44879	49915	53112	45155	33538	42462	44707	45146	46507	56325	60372	44840	56025	47876	50259	45966	46511	44223	46974	44142	42186	36476	50043	50115	57653	49074	54375	45086	36609	51765
1985-01-01	73090	38525	36671	50175	56698	59221	65332	44289	48290	44850	44232	60858	43976	43627	52262	47649	47886	36482	44505	59274	63327	43118	50942	50131	46102	34490	42524	45077	44560	45808	55483	65101	42917	48908	49675	52900	44560	46008	48073	51747	42103	38123	37358	49893	53035	59740	54636	50433	48849	33586	46401
1986-01-01	64719	39489	38659	52632	59877	56125	67537	50201	52893	47161	50300	59863	46356	42826	54719	46911	49384	41020	43117	62620	63167	48348	54913	54579	45254	34083	41957	45122	44393	44938	63052	65460	40960	54112	51652	51838	43237	51132	49138	54779	45342	41070	37681	49871	54244	61332	50773	55483	54552	33982	48626
1987-01-01	66352	39400	37589	53406	60188	52861	65611	54816	58387	48894	53336	69924	44304	41439	54075	44961	51078	41275	42625	64371	69820	47119	55309	56067	47358	36962	40878	45442	45074	46456	64565	68364	41445	53664	52677	51457	43307	49990	50761	56487	50012	42229	42285	49357	52967	59889	50743	54544	52647	34355	55085
1988-01-01	63753	38418	38849	50911	58329	50485	69742	51500	58749	48929	51163	63600	46809	45162	56860	50637	49237	38339	39475	63964	70395	50847	56760	56018	45149	34986	42814	47020	46398	48453	66684	69885	37162	53892	55687	53424	45580	53439	51502	57472	49174	42936	40166	48076	50676	62876	55828	62258	56958	37272	50880
1989-01-01	66476	39295	39570	52714	60942	49490	78135	49390	59205	48159	50849	64683	48491	45517	57787	47814	49594	42986	42207	66623	66494	52103	56818	55729	48920	36771	43741	48752	46579	48591	69293	72225	41729	54169	58149	53580	43695	52671	52968	55616	43937	44509	41745	47792	56711	62990	57778	59008	53768	40021	54503
1990-01-01	69144	41096	40091	51419	58573	54074	68391	48196	54199	46952	48493	68481	48013	44524	57257	47379	52638	43600	39421	63776	68368	48322	52673	55362	48090	35503	41128	46325	44451	48354	71795	68151	44055	56344	55584	52807	42903	51519	51034	56247	50558	43232	39750	49666	53034	61710	54716	56500	54035	38949	51834
1991-01-01	68947	41332	39786	52182	57152	53476	71565	50736	55320	46266	46198	63233	48475	44337	54130	45989	49734	40344	42950	60632	62734	47312	54525	50047	47410	33063	42149	45589	43957	50166	61172	67992	45057	55917	53977	50575	43227	51254	51554	52351	46624	41830	41514	47083	47563	61350	49497	57671	52855	39297	49318
1992-01-01	69213	42731	39542	48609	57790	53785	67622	50081	59073	45283	47680	69728	47591	45870	52240	47238	50245	38885	42120	60201	61598	49038	53425	51296	45302	34058	43918	45981	44637	49751	65295	64573	42817	52831	51412	51997	41863	52862	49477	50387	45662	43478	40264	46283	56710	63246	54233	56129	55149	33563	50018
1993-01-01	69367	40527	37226	49297	55054	55725	63849	44117	58271	46130	51160	68932	46313	50105	53090	47625	48102	39386	42514	59887	64533	44334	52775	54423	46344	35856	42770	46567	45432	50102	61341	65439	43235	57867	51215	50550	42430	53544	50081	54143	42096	44817	40559	46416	57822	58868	50194	57611	51327	36227	47572
1994-01-01	71804	43044	40462	49528	55919	59879	65045	47665	56777	46364	49804	66878	52355	49913	55524	44092	44826	42093	40638	64100	62040	47982	55845	53249	47783	40201	43732	47662	44756	50321	55783	66918	42583	56774	50487	50418	42719	49786	50752	50533	47238	47059	45328	48677	56529	59585	56665	53074	56010	37295	52452
1995-01-01	74113	40169	39895	47699	57197	62911	62195	47521	53981	45971	52700	66226	54894	50501	58839	51596	46892	46071	43195	59616	63429	52327	56296	58625	53822	41014	42898	49423	44957	50892	60539	67884	40169	55768	51045	54001	40664	56216	53357	54647	44929	45713	44843	49516	56380	55981	52275	54970	63296	38452	48728
1996-01-01	79419	45597	40813	47606	58402	61620	63379	48101	59150	46107	48898	62857	49971	52228	59519	52888	49032	48774	45537	59429	66199	52209	59024	61681	51560	40142	43162	53571	47355	51183	59298	71428	37748	57993	53283	51267	41286	53407	52514	55655	52162	44429	46331	49765	55733	59003	48691	55188	60192	37991	46577
1997-01-01	70692	47044	38535	48224	58466	63679	64787	46927	63384	47804	54002	60293	49760	49202	60807	57281	53719	49272	48990	61897	68764	48271	57064	62694	53840	41977	43027	52790	46634	51099	60387	70731	44314	57229	52728	53223	46178	54862	55260	51253	50465	43737	45125	51663	63004	63273	51631	65637	58321	40488	49230
1998-01-01	73668	52704	40204	53901	59488	67720	67588	48587	60249	50732	56190	59332	53798	53305	62749	57739	53350	52683	46119	61538	72686	51794	60777	69649	58422	42319	45889	52082	44039	52917	65335	72410	45840	57776	54343	56568	49014	56774	56699	59127	48345	47646	49543	52002	64378	63004	57218	68915	60059	38808	51227
1999-01-01	73135	51584	42237	52643	62083	68554	71992	55026	66350	50986	56100	63328	58481	50942	65926	58111	53145	48008	46466	62618	74286	55299	65583	66934	58887	46215	44166	53011	46478	54964	65535	70770	46352	58998	56903	56192	46507	57799	53728	60788	51884	50982	51970	55052	65528	65020	59173	64707	64983	41689	53003
2000-01-01	72733	48754	40872	54753	64432	66392	69051	56733	69317	53477	57668	70942	56415	51763	63397	56242	56509	49911	42277	64345	75056	51289	62637	74665	62066	47205	45110	52735	49541	57460	70089	69372	48298	62976	56075	59128	44636	58491	58046	58075	51707	50200	46926	53137	65442	64910	54493	58527	62054	40478	54541
2001-01-01	76793	47069	44631	57169	63270	66129	71416	55114	66403	48757	56997	63507	54855	51194	61810	54056	55443	51456	44609	69952	71661	49013	60305	70525	55341	40377	43008	51088	47917	58383	68718	69307	44344	60782	56379	55938	47670	55253	58233	61210	50518	53108	47903	54700	63377	67258	54612	56882	60705	39724	53172
2002-01-01	69527	49540	42668	52347	62496	63625	70334	51472	65411	50094	56570	62319	54080	49687	56268	54077	56148	48432	44804	65681	74313	48552	56275	71961	56355	40685	45893	48106	47691	56381	72882	71890	46713	59230	55288	56234	48031	55072	55989	55882	49815	49895	48785	52894	63054	65386	56649	59526	60475	38679	52385
2003-01-01	66801	48010	41240	53050	63532	64356	70832	58047	63170	50222	54689	66797	53331	54604	58188	54672	57001	47599	43180	65664	67416	47827	58019	68072	56395	42176	43954	48041	52075	56668	71608	72224	45239	58227	55140	56083	46266	53658	55327	57618	49587	50931	48355	50608	63499	70597	55749	61222	59626	42221	54840
2004-01-01	69092	45961	43897	55017	61763	63850	69138	54521	60291	50862	51426	70571	54446	55659	57816	53113	51529	44683	45710	65272	71651	51859	53022	70398	52872	43610	42607	50490	49212	54942	71290	69358	49641	59230	56024	54024	49707	51438	55343	60148	48548	51580	47772	51944	63832	64170	59387	62641	57383	41876	56963
2005-01-01	67833	45088	44490	54912	62813	61228	68979	54606	62182	52175	55739	72317	56435	53615	58739	51504	51007	44540	45192	67986	73441	53308	55747	65799	52171	39899	45285	51042	51207	58162	69159	76907	47269	58509	57256	53648	45688	53594	56193	60057	48826	52371	47826	50272	66525	63006	61538	61467	54190	44232	54273
2006-01-01	66323	44615	43563	54848	65031	65475	73359	56987	61644	53695	58007	71086	56575	54326	57216	53379	53549	46417	42894	65044	74845	53655	57187	66079	52405	40831	48321	46784	48253	56597	72849	80007	47055	61460	56688	53958	45656	55358	56987	63170	46572	53402	47837	50910	64218	67147	61107	64330	60767	45164	55299
2007-01-01	72010	48254	46634	53973	63712	69893	73322	58052	62403	52349	55603	73186	55909	56224	60022	54245	55439	45099	47226	66831	75024	54749	56437	66368	52590	42615	49904	49741	53962	56213	77249	69169	50705	61796	55950	56127	49402	57427	55370	61970	50542	53062	47092	52645	61191	67629	54173	66393	58617	48116	55721
